Time (h),Cocaine Intravenous (ng/mL),Benzoylecgonine Intravenous (ng/mL),Cocaine Intranasal (ng/mL),Benzoylecgonine Intranasal (ng/mL),Cocaine Smoked (ng/mL),Benzoylecgonine Smoked (ng/mL)
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.020,217.830,0.000,7.500,0.000,167.830,0.000
0.050,194.000,0.000,17.330,0.000,168.330,0.170
0.080,174.400,2.400,27.170,0.000,153.830,1.170
0.110,167.300,6.000,32.390,0.000,142.997,3.447
0.140,163.750,9.600,37.610,0.000,132.163,5.723
0.170,160.200,13.200,42.830,0.000,121.330,8.000
0.200,151.015,19.690,46.277,0.000,122.053,9.667
0.230,146.423,26.180,49.723,0.000,122.777,11.333
0.260,141.830,32.670,53.170,0.000,123.500,13.000
0.290,133.665,44.750,54.085,0.415,105.850,18.100
0.320,125.500,56.830,55.000,0.830,88.200,23.200
0.350,121.138,60.163,55.805,3.137,87.112,27.445
0.380,116.777,63.497,56.610,5.443,86.023,31.690
0.410,112.415,66.830,57.415,7.750,84.935,35.935
0.440,108.053,70.163,58.220,10.057,83.847,40.180
0.470,103.692,73.497,59.025,12.363,82.758,44.425
0.500,99.330,76.830,59.830,14.670,81.670,48.670
0.530,96.812,78.201,59.941,18.540,79.892,50.003
0.560,94.294,79.572,60.052,22.410,78.114,51.337
0.590,91.777,80.943,60.163,26.280,76.337,52.670
0.620,89.259,82.314,60.274,30.150,74.559,54.003
0.650,86.741,83.686,60.386,34.020,72.781,55.337
0.680,84.223,85.057,60.497,37.890,71.003,56.670
0.710,81.706,86.428,60.608,41.760,69.226,58.003
0.740,79.188,87.799,60.719,45.630,67.448,59.337
0.770,76.670,89.170,60.830,49.500,65.670,60.670
0.800,74.733,91.065,60.935,51.916,64.190,61.170
0.830,72.795,92.960,61.040,54.333,62.710,61.670
0.860,70.858,94.855,61.145,56.749,61.230,62.170
0.890,68.920,96.750,61.250,59.165,59.750,62.670
0.920,66.983,98.645,61.355,61.581,58.270,63.170
0.950,65.045,100.540,61.460,63.998,56.790,63.670
0.980,63.108,102.435,61.565,66.414,55.310,64.170
1.010,61.170,104.330,61.670,68.830,53.830,64.670
1.040,60.274,104.049,61.024,71.247,53.091,64.764
1.070,59.378,103.768,60.378,73.664,52.351,64.858
